Samples	SBS1	SBS5	SBS12	SBS15	SBS16	SBS21	SBS22a	SBS40a	SBS95
TCGA-DD-AAEE-01	7	25	0	0	37	0	0	40	0
TCGA-DD-AAEG-01	16	46	0	0	31	0	0	46	0
TCGA-DD-AAEH-01	0	0	28	0	0	0	0	83	0
TCGA-DD-AAEI-01	1	102	0	0	0	0	29	0	0
TCGA-DD-AAEK-01	3	47	0	0	56	0	0	0	0
TCGA-DD-AAVP-01	0	74	0	0	0	0	0	0	29
TCGA-DD-AAVQ-01	2	46	0	0	0	0	0	0	24
TCGA-DD-AAVR-01	3	72	0	10	0	0	0	0	0
TCGA-DD-AAVS-01	6	0	0	0	29	0	0	30	0
TCGA-DD-AAVU-01	0	78	0	0	0	0	0	0	0
TCGA-DD-AAVV-01	1	56	44	0	0	0	0	72	0
TCGA-DD-AAVW-01	2	29	0	10	0	0	0	0	0
TCGA-DD-AAVX-01	1	14	17	0	0	0	0	71	0
TCGA-DD-AAVY-01	0	115	0	0	0	0	0	0	0
TCGA-DD-AAVZ-01	2	54	0	0	0	0	0	0	0
TCGA-DD-AAW0-01	6	108	0	0	0	0	0	0	0
TCGA-DD-AAW1-01	4	33	0	0	0	0	58	39	0
TCGA-DD-AAW2-01	1	38	33	0	0	0	41	46	0
TCGA-DD-AAW3-01	0	125	0	0	0	0	0	0	0
TCGA-ED-A459-01	0	113	0	0	0	0	182	0	0
TCGA-ED-A4XI-01	0	110	0	0	71	0	0	0	0
TCGA-ED-A5KG-01	4	0	0	0	0	0	0	28	0
TCGA-ED-A627-01	0	0	0	0	0	0	0	3	0
TCGA-ED-A66X-01	22	36	0	0	0	0	0	0	0
TCGA-ED-A66Y-01	0	96	0	17	0	0	0	0	0
TCGA-ED-A7PX-01	4	30	0	5	0	0	0	0	0
TCGA-ED-A7PY-01	9	5	0	0	0	0	0	28	0
TCGA-ED-A7PZ-01	2	168	0	0	0	0	146	0	0
TCGA-ED-A7XO-01	7	27	13	0	0	0	0	0	27
TCGA-ED-A7XP-01	0	14	0	10	0	0	0	26	25
TCGA-ED-A82E-01	5	32	0	0	0	0	0	0	0
TCGA-ED-A8O5-01	0	116	0	0	0	0	36	0	0
TCGA-ED-A8O6-01	11	33	0	14	0	0	0	0	28
TCGA-ED-A97K-01	21	0	0	0	0	0	0	36	0
TCGA-EP-A12J-01	7	61	0	0	0	0	0	0	0
TCGA-EP-A26S-01	10	44	45	0	0	0	0	165	0
TCGA-EP-A2KA-01	16	48	0	0	0	0	0	39	38
TCGA-EP-A2KB-01	7	34	0	0	26	0	0	44	0
TCGA-EP-A2KC-01	9	4	25	0	0	0	0	73	0
TCGA-EP-A3JL-01	0	22	32	0	0	0	0	54	0
TCGA-EP-A3RK-01	4	147	0	0	0	0	0	0	0
TCGA-ES-A2HS-01	2	42	0	0	0	0	0	47	0
TCGA-ES-A2HT-01	0	99	0	0	0	0	0	0	0
TCGA-FV-A23B-01	2	150	0	0	0	0	0	0	0
TCGA-FV-A2QQ-01	10	0	42	0	0	0	0	105	0
TCGA-FV-A2QR-01	0	106	0	0	0	0	0	0	43
TCGA-FV-A3I0-01	5	95	0	0	0	0	0	0	0
TCGA-FV-A3I1-01	0	128	0	0	0	0	0	0	59
TCGA-FV-A3R2-01	0	26	0	0	0	0	0	80	0
TCGA-FV-A3R3-01	10	19	15	0	0	0	0	22	0
TCGA-FV-A495-01	6	249	0	0	0	0	0	0	0
TCGA-FV-A496-01	18	2	0	0	0	0	0	274	0
TCGA-FV-A4ZP-01	4	44	0	0	0	0	0	70	0
TCGA-FV-A4ZQ-01	2	21	0	0	0	0	0	40	41
TCGA-G3-A25S-01	0	51	37	0	0	0	0	88	0
TCGA-G3-A25T-01	10	18	27	0	0	0	0	35	0
TCGA-G3-A25U-01	0	42	0	0	0	0	0	0	94
TCGA-G3-A25V-01	0	0	31	0	0	0	0	65	0
TCGA-G3-A25W-01	9	0	35	0	0	0	0	50	36
TCGA-G3-A25Y-01	0	60	0	0	0	0	0	0	57
TCGA-G3-A25Z-01	10	28	23	0	0	0	0	0	50
TCGA-G3-A3CH-01	3	4	0	10	0	0	0	36	0
TCGA-G3-A3CI-01	0	15	10	0	0	0	0	0	0
TCGA-G3-A3CK-01	0	199	70	0	0	0	0	0	0
TCGA-G3-A5SI-01	4	42	0	0	0	0	0	0	0
TCGA-G3-A5SJ-01	7	35	31	0	0	0	0	49	0
TCGA-G3-A5SK-01	0	121	0	0	0	0	0	0	0
TCGA-G3-A5SL-01	0	158	0	0	0	0	0	0	0
TCGA-G3-A5SM-01	0	138	0	20	0	0	0	0	0
TCGA-G3-A6UC-01	5	38	33	0	0	0	0	75	0
TCGA-G3-A7M5-01	1	104	0	0	0	0	113	0	0
TCGA-G3-A7M6-01	0	55	18	0	0	0	0	45	0
TCGA-G3-A7M7-01	0	60	0	0	0	0	0	0	32
TCGA-G3-A7M8-01	0	33	0	0	0	0	0	0	0
TCGA-G3-A7M9-01	0	11	0	0	35	0	0	48	64
TCGA-G3-AAUZ-01	12	23	23	0	0	0	0	0	42
TCGA-G3-AAV0-01	1	89	0	0	0	0	26	98	0
TCGA-G3-AAV1-01	0	72	0	0	0	0	0	0	0
TCGA-G3-AAV2-01	0	45	0	12	0	0	14	0	0
TCGA-G3-AAV3-01	0	26	0	12	0	0	0	61	0
TCGA-G3-AAV4-01	1	57	0	0	0	0	0	93	0
TCGA-G3-AAV5-01	0	41	0	9	0	0	0	46	0
TCGA-G3-AAV6-01	0	85	0	14	0	0	0	0	0
TCGA-G3-AAV7-01	0	95	0	13	0	0	0	0	0
TCGA-GJ-A3OU-01	1	70	0	0	0	0	0	0	0
TCGA-GJ-A6C0-01	0	52	0	0	0	0	0	163	0
TCGA-GJ-A9DB-01	2	44	0	0	0	0	0	71	0
TCGA-HP-A5MZ-01	1	57	0	0	0	0	0	0	0
TCGA-HP-A5N0-01	0	120	0	0	0	0	0	0	47
TCGA-K7-A5RF-01	4	88	0	0	0	0	0	64	0
TCGA-K7-A5RG-01	0	262	0	0	0	0	57	0	0
TCGA-K7-A6G5-01	0	105	0	0	0	0	0	0	0
TCGA-K7-AAU7-01	5	86	0	0	0	0	0	0	0
TCGA-KR-A7K0-01	4	77	0	0	0	0	0	41	0
TCGA-KR-A7K2-01	0	28	0	0	15	0	0	29	0
TCGA-KR-A7K7-01	14	17	0	0	0	0	0	48	0
TCGA-KR-A7K8-01	6	0	22	7	0	0	0	42	0
TCGA-LG-A6GG-01	0	276	0	0	0	0	232	0	0
TCGA-LG-A9QC-01	3	18	0	0	16	0	0	23	0
TCGA-LG-A9QD-01	2	80	0	0	0	0	0	61	0
TCGA-MI-A75C-01	0	58	0	0	25	0	0	66	0
TCGA-MI-A75E-01	0	142	0	0	0	0	23	0	0
TCGA-MI-A75G-01	0	111	0	0	84	0	0	0	89
TCGA-MI-A75H-01	5	13	38	0	0	0	0	112	0
TCGA-MI-A75I-01	0	167	0	0	0	0	47	0	0
TCGA-MR-A520-01	0	32	0	0	0	0	0	0	0
TCGA-MR-A8JO-01	0	40	0	0	0	0	0	0	0
TCGA-NI-A4U2-01	0	148	0	0	0	0	0	156	0
TCGA-NI-A8LF-01	0	132	0	0	0	0	0	0	0
TCGA-O8-A75V-01	3	10	0	0	34	0	0	55	0
TCGA-PD-A5DF-01	7	25	0	0	0	0	0	23	0
TCGA-QA-A7B7-01	1	68	0	0	0	0	0	0	52
TCGA-RC-A6M3-01	1	93	0	0	0	0	0	0	0
TCGA-RC-A6M4-01	9	36	43	0	0	0	81	0	64
TCGA-RC-A6M5-01	10	19	0	0	0	0	0	0	0
TCGA-RC-A6M6-01	7	116	0	0	0	0	0	0	92
TCGA-RC-A7S9-01	3	29	0	7	0	0	0	33	0
TCGA-RC-A7SB-01	0	78	0	0	0	0	0	0	0
TCGA-RC-A7SF-01	4	55	0	0	0	0	0	36	0
TCGA-RC-A7SH-01	15	21	26	0	0	0	0	24	0
TCGA-RC-A7SK-01	6	24	0	0	121	0	0	0	41
